Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
Alabama,US,WIP,0.0,0.0,144164,2437,0,141727.0,0,,
Alaska,US,WIP,0.0,0.0,6729,45,0,6684.0,0,,19.55578732397684
Arizona,US,WIP,0.0,0.0,212942,5451,0,207491.0,0,,96.66867946339013
Arkansas,US,WIP,0.0,0.0,75160,1181,0,73979.0,0,,138.4076357213128
California,US,WIP,0.0,0.0,783313,15018,0,768295.0,0,,
Colorado,US,WIP,0.0,0.0,64336,2013,0,62323.0,0,,
Connecticut,US,WIP,0.0,0.0,55527,4492,0,51035.0,0,,58.64229495935235
Delaware,US,WIP,0.0,0.0,19449,621,0,18828.0,0,,10.232037595869564
Diamond Princess,US,WIP,0.0,0.0,49,0,0,49.0,0,,0.0
District of Columbia,US,WIP,0.0,0.0,14902,619,0,14283.0,0,2111.515567149227,4.153804858408267
Florida,US,WIP,0.0,0.0,681233,13287,0,667946.0,0,,125.26502436257658
Georgia,US,WIP,0.0,0.0,305021,6599,0,298422.0,0,,461.91206506975095
Grand Princess,US,WIP,0.0,0.0,103,3,0,100.0,0,,2.912621359223301
Guam,US,WIP,0.0,0.0,2074,31,0,2043.0,0,1262.8707475537208,1.4946962391513985
Hawaii,US,WIP,0.0,0.0,11326,120,0,11206.0,0,,
Idaho,US,WIP,0.0,0.0,37247,441,0,36806.0,0,,45.144683171294965
Illinois,US,WIP,0.0,0.0,275041,8672,0,266369.0,0,,193.00660613574607
Indiana,US,WIP,0.0,0.0,110759,3503,0,107256.0,0,,
Iowa,US,WIP,0.0,0.0,79804,1265,0,78520.0,0,,158.17059811675506
Kansas,US,WIP,0.0,0.0,52486,594,0,51892.0,0,,
Kentucky,US,WIP,0.0,0.0,61106,1108,0,59998.0,0,,
Louisiana,US,WIP,0.0,0.0,160283,5342,0,154941.0,0,,
Maine,US,WIP,0.0,0.0,5034,139,0,4895.0,0,,
Maryland,US,WIP,0.0,0.0,119744,3876,0,115868.0,0,,
Massachusetts,US,WIP,0.0,0.0,127181,9295,0,117886.0,0,,108.50493693925384
Michigan,US,WIP,0.0,0.0,128087,6969,0,121118.0,0,,248.31664616625187
Minnesota,US,WIP,0.0,0.0,88721,2015,0,86706.0,0,,145.13736916582465
Mississippi,US,WIP,0.0,0.0,93087,2809,0,90278.0,0,,
Missouri,US,WIP,0.0,0.0,112864,1825,0,111039.0,0,,
Montana,US,WIP,0.0,0.0,10163,156,0,10007.0,0,,
Nebraska,US,WIP,0.0,0.0,40797,442,0,40355.0,0,,
Nevada,US,WIP,0.0,0.0,75419,1528,0,73891.0,0,,
New Hampshire,US,WIP,0.0,0.0,7920,438,0,7482.0,0,,28.05493329531316
New Jersey,US,WIP,0.0,0.0,199309,16064,0,183245.0,0,,175.7996651880716
New Mexico,US,WIP,0.0,0.0,27512,847,0,26665.0,0,,87.40769587686428
New York,US,WIP,0.0,0.0,449038,33081,0,415957.0,0,,
North Carolina,US,WIP,0.0,0.0,192247,3235,0,189012.0,0,,
North Dakota,US,WIP,0.0,0.0,17607,192,0,17415.0,0,,
Northern Mariana Islands,US,WIP,0.0,0.0,68,2,0,66.0,0,123.31350645582476,2.9411764705882355
Ohio,US,WIP,0.0,0.0,143547,4612,0,138935.0,0,,
Oklahoma,US,WIP,0.0,0.0,75804,943,0,74861.0,0,,
Oregon,US,WIP,0.0,0.0,30342,521,0,29821.0,0,,
Pennsylvania,US,WIP,0.0,0.0,154236,7940,0,146296.0,0,,
Puerto Rico,US,WIP,0.0,0.0,40993,605,0,40388.0,0,,108.81294964028775
Recovered,US,WIP,0.0,0.0,0,0,2577446,-2577446.0,0,,
Rhode Island,US,WIP,0.0,0.0,23620,1088,0,22532.0,0,,48.44167408726626
South Carolina,US,WIP,0.0,0.0,137240,3188,0,134052.0,0,,
South Dakota,US,WIP,0.0,0.0,18444,200,0,18244.0,0,,
Tennessee,US,WIP,0.0,0.0,181439,2216,0,179223.0,0,,123.11574112137117
Texas,US,WIP,0.0,0.0,707940,15051,0,692889.0,0,,
Utah,US,WIP,0.0,0.0,62852,440,0,62412.0,0,,
Vermont,US,WIP,0.0,0.0,1710,58,0,1652.0,0,,23.885050662907513
Virgin Islands,US,WIP,0.0,0.0,1257,19,0,1238.0,0,1171.831301040385,1.511535401750199
Virginia,US,WIP,0.0,0.0,139546,2988,0,136558.0,0,,
Washington,US,WIP,0.0,0.0,82199,2037,0,80162.0,0,,68.47034539121759
West Virginia,US,WIP,0.0,0.0,13889,311,0,13578.0,0,,
Wisconsin,US,WIP,0.0,0.0,97279,1238,0,96041.0,0,,
Wyoming,US,WIP,0.0,0.0,4781,49,0,4731.0,0,,29.9999516136276
