Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
Alabama,United States,,31.93111280710145,-84.19678549637685,144164,2437,0.0,141727.0,"Alabama, US",3146.021465040227,1.6904358924558143
Alaska,United States,,58.17404290407408,-143.18074129259261,6729,45,0.0,6684.0,"Alaska, US",656.5546506198989,0.6687472135532769
Arizona,United States,,31.571159664375,-104.49678011875,212942,5451,0.0,207491.0,"Arizona, US",2744.297511503758,2.5598519784730116
Arkansas,United States,,34.45252242460526,-91.21774171223683,75160,1181,0.0,73979.0,"Arkansas, US",2531.222777281986,1.5713145290047896
California,United States,,37.20253856728814,-118.68234680508472,783313,15018,0.0,768295.0,"California, US",1518.674378980244,1.917241256049625
Colorado,United States,,37.755611604999984,-102.28968723333331,64336,2013,0.0,62323.0,"Colorado, US",854.5063839285461,3.1288858492912213
Connecticut,United States,,36.98993790222222,-64.58384860333334,55527,4492,0.0,51035.0,"Connecticut, US",1064.47192055705,8.089758135681741
Delaware,United States,,29.331957617500002,-56.64992809249999,19449,621,0.0,18828.0,"Delaware, US",1524.8330331048246,3.1929662193428965
Diamond Princess,United States,,0.0,0.0,49,0,0.0,49.0,"Diamond Princess, US",0.0,0.0
District of Columbia,United States,,38.90417773,-77.01655992,14902,619,0.0,14283.0,"District of Columbia, US",2111.515567149227,4.153804858408267
Florida,United States,,28.515155542647065,-81.48455649882354,681233,13287,0.0,667946.0,"Florida, US",3472.153530276148,1.9504339924812801
Georgia,United States,,32.40097273931678,-82.53920098291928,305021,6599,0.0,298422.0,"Georgia, US",2981.8643896929907,2.163457598001449
Grand Princess,United States,,0.0,0.0,103,3,0.0,100.0,"Grand Princess, US",0.0,2.912621359223301
Guam,United States,,13.4443,144.7937,2074,31,0.0,2043.0,"Guam, US",1262.8707475537208,1.4946962391513983
Hawaii,United States,,13.99376498,-104.94297053333332,11326,120,0.0,11206.0,"Hawaii, US",278.9640426002456,1.0595090941197245
Idaho,United States,,43.27977011933334,-111.91656658666665,37247,441,0.0,36806.0,"Idaho, US",1544.8529943869446,1.1839879721856794
Illinois,United States,,39.07739428394231,-87.46336218365384,275041,8672,0.0,266369.0,"Illinois, US",1413.291973298611,3.152984464134438
