Country_Region,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio
Afghanistan,38919,1437,32576.0,4906.0,99.9760046286072,3.692283974408387
Albania,12226,358,6888.0,4980.0,424.83841823615273,2.928185833469655
Algeria,49623,1665,34923.0,13035.0,113.16264472888363,3.35529895411402
Andorra,1564,53,1164.0,347.0,2024.202420242024,3.3887468030690537
Angola,3901,147,1445.0,2309.0,11.869312329589718,3.76826454755191
Antigua and Barbuda,96,3,92.0,1.0,98.03120660076792,3.125
Argentina,622934,12799,478077.0,132058.0,1378.3013399681124,2.0546317908478264
Armenia,47154,928,42551.0,3675.0,1591.3019356554364,1.968019680196802
Australia,26898,849,23966.0,2083.0,63.87899163340023,3.1563685032344413
Austria,37474,765,28961.0,7748.0,416.08189731746313,2.0414153813310563
Azerbaijan,39042,574,36601.0,1867.0,385.0609147193928,1.4702115670303777
Bahamas,3214,73,1679.0,1462.0,817.2959557327691,2.271313005600498
Bahrain,64499,221,57299.0,6979.0,3790.529171953409,0.34264097117784775
Bangladesh,347372,4913,254386.0,88073.0,210.92555796386705,1.4143339129233214
Barbados,185,7,172.0,6.0,64.37671163756956,3.783783783783784
Belarus,75461,776,73212.0,1473.0,798.5864804465845,1.0283457680126158
Belgium,100748,9944,18945.0,71859.0,869.2954106503615,9.870171120022233
Belize,1606,20,876.0,710.0,403.902208384366,1.2453300124533
Benin,2280,40,1950.0,290.0,18.806918768463568,1.7543859649122806
Bhutan,259,0,190.0,69.0,33.566092803118664,0.0
Bolivia,130470,7586,89032.0,33852.0,1117.7047534106189,5.814363455200429
Bosnia and Herzegovina,25217,758,17489.0,6970.0,768.6199922885014,3.0059087123765713
Botswana,2567,13,624.0,1930.0,109.15856056981876,0.506427736657577
Brazil,4528240,136532,3936893.0,454815.0,2940.7124873213907,3.015122873345936
Brunei,145,3,142.0,0.0,33.144145029635446,2.0689655172413794
Bulgaria,18819,755,13558.0,4506.0,270.8375758892817,4.0119028641266805
Burkina Faso,1816,56,1176.0,584.0,8.687632628719763,3.0837004405286343
Burma,5263,81,1188.0,3994.0,9.672890876962336,1.5390461713851415
Burundi,473,1,374.0,98.0,3.9778715964914335,0.21141649048625794
Cabo Verde,5186,50,4581.0,555.0,932.7539443297336,0.9641342074816814
Cambodia,275,0,274.0,1.0,1.644838070476945,0.0
Cameroon,20431,416,19124.0,891.0,76.9649087330516,2.0361215799520336
Canada,144607,9262,,,,6.404945818667146
Central African Republic,4786,62,1830.0,2894.0,99.09386876874316,1.2954450480568325
Chad,1149,81,966.0,102.0,6.995067959611733,7.049608355091384
Chile,444674,12254,,,,2.7557266671764036
China,90334,4737,85226.0,371.0,6.974132497703247,5.2438727389465765
Colombia,758398,24039,627685.0,106674.0,1218.239012511397,3.1697077260224846
Comoros,470,7,450.0,13.0,54.04814885090185,1.4893617021276597
Congo (Brazzaville),4986,89,3887.0,1010.0,90.35731916031844,1.784997994384276
Congo (Kinshasa),10488,268,9891.0,329.0,11.710401502861655,2.555301296720061
Costa Rica,63712,706,23552.0,39454.0,1250.6983550034413,1.1081115017579106
Cote d'Ivoire,19269,120,18392.0,757.0,73.04874939699431,0.6227619492449011
Croatia,14725,244,12353.0,2128.0,358.68547437097885,1.6570458404074704
Cuba,5055,113,4284.0,658.0,44.629393280393714,2.235410484668645
Cyprus,1590,22,1282.0,286.0,131.69217823004058,1.3836477987421385
Czechia,48306,499,24228.0,23579.0,451.07929026307073,1.0329979712665094
Denmark,22881,635,17742.0,4504.0,431.34341442796403,2.775228355404047
Diamond Princess,712,13,651.0,48.0,,1.8258426966292134
Djibouti,5403,61,5333.0,9.0,546.8612411715766,1.1290024060707016
Dominica,24,0,18.0,6.0,33.337500520898445,0.0
Dominican Republic,107700,2044,80820.0,24836.0,992.8185205178804,1.8978644382544103
Ecuador,125620,11084,97063.0,17473.0,712.0080076812072,8.82343575863716
Egypt,101900,5750,88666.0,7484.0,99.57550639153092,5.642787046123651
El Salvador,27428,808,21247.0,5373.0,422.8669447647399,2.945894706139711
Equatorial Guinea,5002,83,4509.0,410.0,356.5255508790187,1.6593362654938024
Eritrea,364,0,305.0,59.0,10.263851476429656,0.0
Estonia,2875,64,2374.0,437.0,216.7293988341089,2.226086956521739
Eswatini,5245,104,4571.0,570.0,452.09125606379786,1.9828408007626313
Ethiopia,68131,1089,27939.0,39103.0,59.26311465083687,1.5983913343411957
Fiji,32,2,26.0,4.0,3.5696596775704896,6.25
Finland,8922,339,7700.0,883.0,161.0260619652543,3.799596503026227
France,467614,31257,92983.0,343374.0,770.3682562389275,6.684359322004902
Gabon,8696,53,7848.0,795.0,390.703625959686,0.609475620975161
Gambia,3504,108,1992.0,1404.0,144.9932634408424,3.0821917808219177
Georgia,3306,19,1481.0,1806.0,82.87427851623455,0.5747126436781609
Germany,272932,9388,240510.0,23034.0,,3.4396846100860285
Ghana,45877,297,45081.0,499.0,147.64290928973742,0.6473832203500665
Greece,14978,331,1347.0,13300.0,143.70065746552643,2.209907864868474
Grenada,24,0,24.0,0.0,21.329730978768037,0.0
Guatemala,85152,3105,74497.0,7550.0,475.29614887432814,3.6464205186020298
Guinea,10286,63,9681.0,542.0,78.32302529424055,0.612482986583706
Guinea-Bissau,2303,39,1127.0,1137.0,117.02247664885842,1.693443334780721
Guyana,2168,64,1331.0,773.0,275.6309444046791,2.952029520295203
Haiti,8600,221,6363.0,2016.0,75.42183828803653,2.5697674418604652
Holy See,12,0,12.0,0.0,1483.3127317676144,0.0
Honduras,71143,2166,21810.0,47167.0,718.2818340715753,3.0445721996542177
Hungary,16920,675,4382.0,11863.0,175.14893352725315,3.9893617021276597
Iceland,2307,10,2116.0,181.0,676.0439560439562,0.43346337234503685
India,5308014,85619,4208431.0,1013964.0,,1.6130138315385
Indonesia,240687,9448,174350.0,56889.0,87.99495967479899,3.9254301229397512
Iran,419043,24118,357632.0,37293.0,498.9025686476341,5.755495259436382
Iraq,315597,8491,249539.0,57567.0,784.6279481910907,2.6904564999033576
Ireland,32538,1792,23364.0,7382.0,658.957964241536,5.507406724445264
Israel,183602,1226,132449.0,49927.0,2121.20767494487,0.6677487173342338
Italy,296569,35692,217716.0,43161.0,461.1660954397713,12.034973311438485
Jamaica,4758,60,1327.0,3371.0,160.68021968410363,1.2610340479192939
Japan,78662,1504,70051.0,7107.0,,1.9119778291932572
Jordan,4540,30,2672.0,1838.0,44.49610610067096,0.6607929515418502
Kazakhstan,107262,1671,101877.0,3714.0,571.250326268605,1.557867651171897
Kenya,36829,646,23777.0,12406.0,68.4919278499869,1.7540525129653262
"Korea, South",22975,383,20158.0,2434.0,44.8124948665556,1.6670293797606095
Kosovo,12683,488,8788.0,3407.0,700.5765684949894,3.847670109595522
Kuwait,99049,581,89498.0,8970.0,2319.342906310011,0.5865783602055548
Kyrgyzstan,45335,1063,41484.0,2788.0,694.8754259340352,2.34476673651704
Laos,23,0,22.0,1.0,0.3161270423868636,0.0
Latvia,1515,36,1248.0,231.0,80.32013538316681,2.376237623762376
Lebanon,28297,286,11440.0,16571.0,414.5812095392503,1.0107078488885748
Lesotho,1390,33,754.0,603.0,64.88499018789572,2.3741007194244603
Liberia,1335,82,1216.0,37.0,26.39551715145115,6.142322097378277
Libya,27234,436,14679.0,12119.0,396.3449641966636,1.6009400014687523
Liechtenstein,113,1,109.0,3.0,296.3001809266592,0.8849557522123894
Lithuania,3664,87,2197.0,1380.0,134.59251784618178,2.3744541484716155
Luxembourg,7718,124,6703.0,891.0,1232.9546180684245,1.6066338429644986
MS Zaandam,9,2,0.0,7.0,,22.22222222222222
